strain,id,flavors,positive,medical,Type,Rating,Flavor
Afpak,1,"Earthy, Chemical, Pine","Relaxed, Hungry, Happy, Sleepy","Depression, Insomnia, Pain, Stress, Lack of Appetite",hybrid,4.2,"Pine,Spicy/Herbal,Earthy"
African,2,"Spicy/Herbal, Pungent, Earthy","Euphoric, Happy, Creative, Energetic, Talkative","Depression, Pain, Stress, Lack of Appetite, Nausea, Headache",sativa,3.9,"Spicy/Herbal,Pungent,Pepper"
Afternoon Delight,3,"Pepper, Flowery, Pine","Relaxed, Hungry, Euphoric, Uplifted, Tingly","Depression, Insomnia, Pain, Stress, Cramps, Headache",hybrid,4.8,"Pungent,Citrus,Tropical"
Afwreck,4,"Pine, Earthy, Flowery","Relaxed, Happy, Creative, Uplifted, Sleepy","Pain, Stress, Headache, Fatigue, Headaches, Muscle Spasms",hybrid,4.2,"Earthy,Pine,Pungent"
Agent Orange,5,"Citrus, Orange, Sweet","Relaxed, Euphoric, Happy, Energetic, Uplifted","Depression, Pain, Stress, Nausea, Headache, Headaches",hybrid,4.2,"Citrus,Orange,Earthy"
Agent Tangie,6,"Skunk, Pepper, Citrus","Euphoric, Happy, Creative, Uplifted, Focused","Depression, Stress, Cramps, Fatigue, Eye Pressure",hybrid,4.5,"Skunk,Citrus,Orange"
Alaska,8,"Earthy, Woody, Pungent","Relaxed, Euphoric, Happy, Energetic, Focused","Depression, Pain, Stress, Lack of Appetite, Headaches",sativa,4.6,"Earthy,Woody,Pine"
Alaska Thunder Grape,9,"Grape, Pepper, Skunk","Relaxed, Euphoric, Creative, Tingly, Focused","Pain, Stress, Eye Pressure",hybrid,5.0,"Pepper,Strawberry,Grape"
Alaskan Ice,10,"Earthy, Pine, Minty","Euphoric, Happy, Creative, Energetic, Uplifted","Depression, Pain, Stress, Fatigue, Headaches",sativa,4.4,"Sweet,Earthy,Spicy/Herbal"
Alaskan Thunder Fuck,11,"Earthy, Woody, Pine","Relaxed, Euphoric, Happy, Energetic, Uplifted","Depression, Pain, Stress, Lack of Appetite, Headache, Fatigue",sativa,4.4,"Earthy,Woody,Pine"
Albert Walker,12,"Earthy, Pine, Skunk","Relaxed, Hungry, Euphoric, Happy, Focused","Depression, Insomnia, Pain, Stress, Headache, Muscle Spasms",hybrid,4.7,"Earthy,Mango,Blueberry"
Alchemy,13,"Cheese, Chemical, Sweet","Relaxed, Hungry, Uplifted, Tingly, Sleepy","Insomnia, Stress, Fatigue, Headaches, Eye Pressure",hybrid,4.8,"Cheese,Sweet,Spicy/Herbal"
Alf,14,"Diesel, Pungent, Tropical","Relaxed, Euphoric, Happy, Creative, Giggly","Depression, Insomnia, Stress, Muscle Spasms",hybrid,5.0,"Diesel,Tropical,Pungent"
Alien Abduction,16,"Earthy, Nutty, Lemon","Relaxed, Happy, Creative, Focused","Depression, Insomnia, Lack of Appetite, Fatigue, Headaches",hybrid,3.8,"Earthy,Nutty,Sweet"
Alien Apparition,17,"Berry, Blueberry, Citrus","Hungry, Euphoric, Creative, Aroused","Depression, Cramps, Fatigue, Headaches, Eye Pressure",hybrid,4.0,"Sweet,Pungent,Skunk"
Alien Asshat,18,"Citrus, Pungent, Lemon","Euphoric, Happy, Creative, Energetic, Giggly","Depression, Pain, Stress, Nausea, Fatigue",hybrid,4.8,"Pungent,Citrus,Earthy"
Alien Bubba,19,"Earthy, Ammonia, Diesel","Relaxed, Euphoric, Sleepy, Focused, Giggly","Depression, Insomnia, Pain, Stress, Lack of Appetite",indica,5.0,"Earthy,Woody,Sweet"
Alien Dawg,20,"Earthy, Pungent, Spicy/Herbal","Relaxed, Euphoric, Happy, Uplifted, Sleepy","Insomnia, Pain, Stress, Nausea, Fatigue",indica,4.3,"Earthy,Pungent,Woody"
Alien Dutchess,21,"Berry, Lemon, Sweet","Relaxed, Euphoric, Happy, Uplifted, Focused","Depression, Insomnia, Pain, Stress, Lack of Appetite",sativa,4.2,"Sweet,Berry,Blueberry"
Alien Hallucination,22,"Chemical, Diesel, Earthy","Relaxed, Euphoric, Happy, Uplifted","Depression, Pain, Stress, Headache, Fatigue, Muscle Spasms",hybrid,4.1,"Sweet,Earthy,Diesel"
Alien Inferno,23,"Pine, Diesel, Earthy","Euphoric, Happy, Creative, Energetic, Talkative","Depression, Pain, Stress, Lack of Appetite, Fatigue",hybrid,4.8,"Pine,Diesel,Earthy"
Alien Kush,24,"Woody, Flowery, Earthy","Relaxed, Euphoric, Uplifted, Sleepy, Giggly","Depression, Insomnia, Pain, Stress, Headache, Headaches",indica,4.2,"Earthy,Woody,Flowery"
Alien Reunion,26,"Skunk, Diesel, Pungent","Relaxed, Euphoric, Happy, Creative, Uplifted","Pain, Lack of Appetite, Headaches, Inflammation, Muscle Spasms",hybrid,4.9,"Pungent,Skunk,Cheese"
Alien Rift,27,"Earthy, Chemical, Citrus","Relaxed, Hungry, Euphoric, Happy, Creative","Depression, Insomnia, Pain, Stress, Headaches",indica,4.6,"Grape,Earthy,Chemical"
Alien Rock Candy,28,"Sweet, Earthy, Citrus","Relaxed, Euphoric, Happy, Uplifted, Sleepy","Depression, Insomnia, Pain, Stress, Lack of Appetite",hybrid,4.7,"Sweet,Citrus,Earthy"
Alien Sour Apple,29,"Apple, Orange, Ammonia","Relaxed, Euphoric, Happy, Creative, Uplifted","Depression, Stress, Lack of Appetite, Muscle Spasms",hybrid,4.6,"Sweet,Lemon,Apple"
Alien Stardawg,30,"Earthy, Pungent, Rose","Euphoric, Happy, Creative, Uplifted","Depression, Stress, Lack of Appetite",sativa,4.4,"Diesel,Spicy/Herbal,Sage"
Alien Technology,31,"Spicy/Herbal, Chemical, Woody","Relaxed, Happy, Uplifted, Giggly","Depression, Pain, Stress, Headaches",indica,4.5,"Earthy,Spicy/Herbal,Woody"
Aliens On Moonshine,32,"Berry, Butter, Citrus","Relaxed, Happy, Tingly, Focused","Depression, Stress, Headaches, Inflammation",indica,4.5,"Citrus,Sage,Grapefruit"
Allen Wrench,33,"Berry, Tropical, Mango","Euphoric, Happy, Creative, Energetic, Uplifted","Depression, Pain, Stress, Lack of Appetite, Nausea",sativa,4.3,"Citrus,Earthy,Pungent"
Allkush,34,"Honey, Spicy/Herbal, Earthy","Relaxed, Happy, Sleepy","Pain, Stress, Eye Pressure",indica,5.0,"Spicy/Herbal,Honey,Earthy"
Aloha,35,"Tropical, Sweet, Citrus","Relaxed, Happy, Creative, Energetic, Uplifted","Depression, Pain, Stress, Fatigue, Headaches",sativa,4.2,"Tropical,Sweet,Citrus"
Aloha Limone,36,"Citrus, Earthy, Pungent","Relaxed, Happy, Creative, Energetic, Uplifted","Depression, Pain, Stress",hybrid,4.8,"Sweet,Citrus,Earthy"
Alohaberry,37,"Berry, Sweet, Citrus","Relaxed, Euphoric, Happy, Energetic, Giggly","Depression, Pain, Stress, Nausea, Fatigue",hybrid,4.2,"Berry,Apple,Chestnut"
Alpha Blue,38,"Blueberry, Sweet, Berry","Relaxed, Happy, Energetic, Uplifted, Focused","Depression, Insomnia, Stress, Lack of Appetite, Fatigue",sativa,4.5,"Earthy,Blueberry,Sweet"
Alpha Express,40,"Spicy/Herbal, Nutty, Tea","Happy, Creative, Energetic, Uplifted, Focused","Depression, Cramps, Fatigue, Headaches, Inflammation",sativa,4.7,"Diesel,Earthy,Spicy/Herbal"
Alpine Blue,42,"Berry, Blueberry, Pine","Euphoric, Creative, Energetic, Uplifted, Aroused","Depression, Pain, Stress, Inflammation, Muscle Spasms",hybrid,5.0,"Berry,Blueberry,Pine"
Alpine Star,43,"Pine, Earthy, Lemon","Relaxed, Euphoric, Happy, Creative, Uplifted","Depression, Insomnia, Pain, Stress, Fatigue",indica,4.2,"Pine,Citrus,Earthy"
Ambrosia,44,"Earthy, Tropical, Butter","Relaxed, Hungry, Euphoric, Happy, Tingly","Depression, Pain, Stress, Lack of Appetite, Headache, Fatigue",hybrid,4.4,"Flowery,Lavender,Earthy"
American Dream,45,"Earthy, Sweet, Pungent","Relaxed, Euphoric, Happy, Creative, Focused","Depression, Insomnia, Pain, Stress, Inflammation",hybrid,4.7,"Earthy,Sweet,Pungent"
American Kush,46,"Sweet, Lemon, Lime","Relaxed, Happy, Tingly, Sleepy","Insomnia, Pain, Stress, Headaches, Muscle Spasms",indica,4.8,"Sweet,Lemon,Lime"
Americano,47,"Earthy, Diesel, Spicy/Herbal","Relaxed, Euphoric, Creative, Focused, Aroused","Pain, Nausea, Headaches",indica,4.6,"Earthy,Spicy/Herbal,Tobacco"
Amnesia,50,"Earthy, Sweet, Citrus","Relaxed, Euphoric, Happy, Energetic, Uplifted","Depression, Pain, Stress, Lack of Appetite, Headache, Headaches",sativa,4.3,"Earthy,Sweet,Skunk"
Amnesia Haze,52,"Citrus, Lemon, Earthy","Euphoric, Happy, Creative, Energetic, Uplifted","Depression, Pain, Stress, Headache, Fatigue, Headaches",sativa,4.3,"Earthy,Citrus,Lemon"
Ancient Kush,53,"Cheese, Skunk, Citrus","Relaxed, Creative, Energetic, Sleepy, Aroused","Pain, Stress, Lack of Appetite, Headaches",indica,4.6,"Skunk,Cheese,Mint"
Anesthesia,55,"Sweet, Earthy, Pungent","Relaxed, Hungry, Euphoric, Happy, Sleepy","Insomnia, Pain, Stress, Headache, Headaches, Inflammation",indica,4.1,"Earthy,Pungent,Sweet"
Animal Cookies,57,"Sweet, Earthy, Pungent","Relaxed, Euphoric, Happy, Uplifted, Sleepy","Depression, Insomnia, Pain, Stress, Fatigue",hybrid,4.5,"Earthy,Sweet,Pungent"
Ape Shit,59,"Grape, Sweet, Lavender","Relaxed, Euphoric, Happy, Creative, Giggly","Depression, Insomnia, Stress, Lack of Appetite, Eye Pressure",hybrid,5.0,"Sweet,Grape,Lavender"
Apollo 11,60,"Pungent, Cheese, Citrus","Relaxed, Euphoric, Happy, Uplifted","Depression, Insomnia, Pain, Stress, Headache, Headaches",hybrid,4.4,"Pungent,Citrus,Lemon"
Apollo 13,61,"Earthy, Sweet, Woody","Relaxed, Euphoric, Happy, Energetic, Giggly","Depression, Pain, Stress, Headache, Fatigue, Headaches",hybrid,4.4,"Earthy,Spicy/Herbal,Sweet"
Appalachia,62,"Pungent, Earthy, Woody","Relaxed, Hungry, Euphoric, Happy, Creative","Pain, Cramps, Lack of Appetite, Inflammation, Muscle Spasms",hybrid,4.8,"Pungent,Skunk,Earthy"
Apple Jack,64,"Apple, Pungent, Skunk","Euphoric, Happy, Creative, Talkative, Uplifted","Depression, Stress, Nausea, Fatigue, Muscle Spasms",hybrid,3.6,"Apple,Sweet,Earthy"
Apple Kush,65,"Apple, Diesel, Sweet","Relaxed, Euphoric, Happy, Tingly","Depression, Insomnia, Pain, Stress, Eye Pressure",hybrid,4.6,"Apple,Diesel,Pungent"
Appleberry,66,"Berry, Earthy, Flowery","Relaxed, Sleepy, Focused","Depression, Stress, Lack of Appetite, Headaches, Muscle Spasms",indica,4.6,"Berry,Apple,Sweet"
Arctic Sun,68,"Ammonia, Skunk","Relaxed, Hungry, Euphoric, Creative, Energetic",Stress,hybrid,4.3,"Ammonia,Skunk"
Area 51,70,"Sweet, Earthy, Citrus","Relaxed, Happy, Talkative, Uplifted, Giggly","Depression, Pain, Stress, Cramps, Fatigue",hybrid,4.4,"Earthy,Citrus,Sweet"
Argyle,71,"Earthy, Woody, Citrus","Relaxed, Happy, Energetic, Uplifted, Focused","Depression, Pain, Stress, Cramps, Fatigue",indica,3.9,"Spicy/Herbal,Pungent,Earthy"
Armageddon,74,"Citrus, Earthy, Pungent","Relaxed, Euphoric, Happy, Talkative, Uplifted","Depression, Stress, Lack of Appetite, Fatigue, Headaches",hybrid,4.0,"Diesel,Woody,Tropical"
Armagnac,75,"Earthy, Skunk, Flowery","Relaxed, Euphoric, Sleepy, Aroused","Insomnia, Stress",hybrid,4.2,"Spicy/Herbal,Sweet,Flowery"
Ash,76,"Earthy, Pine, Pungent","Relaxed, Euphoric, Happy, Uplifted, Sleepy","Depression, Pain, Stress, Lack of Appetite, Headache, Eye Pressure",hybrid,4.5,"Pungent,Skunk,Spicy/Herbal"
Asian Fantasy,77,"Earthy, Skunk, Woody","Relaxed, Hungry, Euphoric, Happy, Talkative","Pain, Stress, Lack of Appetite, Headache, Headaches, Eye Pressure",sativa,4.4,"Earthy,Skunk,Woody"
Astroboy,79,"Citrus, Sweet, Grapefruit","Happy, Creative, Energetic, Tingly, Focused","Depression, Pain, Fatigue, Headaches, Muscle Spasms",sativa,4.5,"Sweet,Citrus,Grapefruit"
Athabasca,80,"Earthy, Ammonia, Apple","Relaxed, Happy, Talkative, Uplifted","Depression, Stress, Fatigue, Headaches, Seizures",indica,4.6,"Earthy,Ammonia,Diesel"
Atmosphere,81,"Flowery, Citrus, Earthy","Relaxed, Euphoric, Creative, Uplifted, Tingly","Depression, Insomnia, Stress, Lack of Appetite, Nausea",hybrid,4.8,"Flowery,Sweet,Citrus"
Atomic Goat,82,"Nutty, Sweet, Earthy","Relaxed, Happy, Energetic, Uplifted","Depression, Pain, Stress, Headaches, Muscle Spasms",hybrid,4.8,"Spicy/Herbal,Nutty,Sage"
Atomic Northern Lights,83,"Earthy, Skunk, Pungent","Relaxed, Hungry, Euphoric, Happy, Uplifted","Depression, Insomnia, Pain, Nausea, Headache, Headaches",hybrid,4.2,"Earthy,Pungent,Flowery"
Atomical Haze,84,"Minty, Nutty, Pine","Relaxed, Hungry, Happy, Creative, Focused","Depression, Pain, Stress, Nausea, Eye Pressure",sativa,4.4,"Pungent,Minty,Citrus"
